DATE,SECS,PDS1,DCL,DCI,PDADC,CPTP,CPTF,CPTD,VBC,VFALIM,VFA,XFA,TPCB,VTEMP,CTEMP,VHTR,CHTR,RFL,PDSU,TEMPCO,VQPA,VQP,CM_mW,FAIL
02.12:52:48,590,0.0,1.3788,0.0,33142,14977,8607,6370,1.3097,0.0,34033,29809,33.625,95.431,84.2,49031,46265,33019,538,0,0,19781,179.7,0.0
02.12:52:58,600,0.0,1.3788,0.0,33243,14948,8593,6355,1.3097,0.0,34039,29814,33.625,95.431,84.2,49035,46273,32979,522,0,0,19781,179.7,0.0
02.12:53:08,610,0.0,1.3788,0.0,33081,14958,8618,6340,1.3097,0.0,34046,29846,33.594,95.431,84.2,49041,46273,32913,522,0,0,19781,179.7,0.0
02.12:53:18,620,0.0,1.3774,0.0,33383,14950,8597,6353,1.3097,0.0,33989,29821,33.625,95.431,84.2,49023,46274,32877,515,0,0,19781,176.6,0.0
02.12:53:28,630,0.0,1.3781,0.0,33161,14962,8613,6349,1.3097,0.0,34038,29851,33.625,95.431,84.2,49040,46274,32981,529,0,0,19781,179.7,0.0
02.12:53:38,640,0.0,1.3781,0.0,33319,14944,8581,6363,1.3097,0.0,34005,29823,33.625,95.431,84.2,49029,46267,32927,530,0,0,19781,179.7,0.0
02.12:53:48,650,0.0,1.3781,0.0,33260,14955,8624,6331,1.3097,0.0,34021,29803,33.625,95.431,84.2,49037,46275,32955,516,0,0,19781,176.6,0.0
02.12:53:58,660,0.0,1.3781,0.0,33693,14950,8613,6337,1.3097,0.0,34028,29844,33.625,95.431,84.2,49046,46275,33010,529,0,0,19781,176.6,0.0
02.12:54:08,670,0.0,1.3774,0.0,33210,14958,8607,6351,1.3097,0.0,33991,29818,33.625,95.431,84.2,49024,46283,32875,525,0,0,19781,179.7,0.0
02.12:54:18,680,0.0,1.3788,0.0,33163,14940,8591,6349,1.3097,0.0,34014,29805,33.625,95.43,84.2,49030,46275,32943,528,0,0,19781,182.8,0.0
02.12:54:28,690,0.0,1.3788,0.0,33263,14939,8591,6348,1.3097,0.0,34040,29803,33.625,95.432,84.2,49037,46268,33027,522,0,0,19781,179.7,0.0
02.12:54:38,700,0.0,1.3781,0.0,33222,14954,8604,6350,1.3097,0.0,34039,29798,33.625,95.431,84.2,49035,46275,32972,547,0,0,19781,179.7,0.0
02.12:54:48,710,0.0,1.3788,0.0,33291,14943,8588,6355,1.3097,0.0,34028,29838,33.625,95.431,84.2,49025,46267,32933,532,0,0,19781,179.7,0.0
02.12:54:58,720,0.0,1.3788,0.0,33315,14940,8599,6341,1.3097,0.0,34033,29837,33.625,95.431,84.2,49043,46283,32966,530,0,0,19781,182.8,0.0
02.12:55:08,730,0.0,1.3781,0.0,33007,14979,8623,6356,1.3097,0.0,34023,29826,33.656,95.431,84.2,49038,46275,32872,526,0,0,19781,179.7,0.0
02.12:55:18,740,0.0,1.3781,0.0,33186,14941,8597,6344,1.3097,0.0,34045,29834,33.656,95.431,84.20100000000001,49038,46259,33007,529,0,0,19781,179.7,0.0
02.12:55:28,750,0.0,1.3774,0.0,33170,14973,8610,6363,1.3097,0.0,33987,29805,33.656,95.431,84.2,49022,46274,32912,540,0,0,19781,179.7,0.0
02.12:55:38,760,0.0,1.3774,0.0,33328,14959,8603,6356,1.3097,0.0,34020,29824,33.625,95.431,84.2,49034,46265,32974,531,0,0,19781,176.6,0.0
02.12:55:48,770,0.0,1.3781,0.0,33311,14955,8609,6346,1.3097,0.0,33997,29837,33.656,95.431,84.2,49020,46273,32943,540,0,0,19781,176.6,0.0
02.12:55:58,780,0.0,1.3788,0.0,32929,14975,8621,6354,1.3097,0.0,34042,29825,33.656,95.432,84.2,49038,46264,32938,523,0,0,19781,179.7,0.0
02.12:56:08,790,0.0,1.3774,0.0,33293,14951,8602,6349,1.3097,0.0,34027,29819,33.656,95.431,84.2,49033,46271,32980,533,0,0,19781,179.7,0.0
02.12:56:18,800,0.0,1.3774,0.0,33159,14961,8609,6352,1.3097,0.0,34038,29811,33.625,95.431,84.2,49034,46263,32963,528,0,0,19781,179.7,0.0
02.12:56:28,810,0.0,1.3788,0.0,33293,14947,8621,6326,1.3097,0.0,34025,29826,33.625,95.431,84.2,49024,46270,32919,526,0,0,19781,179.7,0.0
02.12:56:38,820,0.0,1.3788,0.0,33228,14941,8608,6333,1.3097,0.0,34034,29796,33.656,95.431,84.2,49026,46270,32944,528,0,0,19781,182.8,0.0
02.12:56:48,830,0.0,1.3795,0.0,33184,14968,8604,6364,1.3111,0.0,34008,29817,33.625,95.431,84.2,49028,46262,32903,528,0,0,19781,182.8,0.0
02.12:56:58,840,0.0,1.3795,0.0,33299,14979,8617,6362,1.3097,0.0,34007,29808,33.625,95.432,84.2,49047,46279,32972,527,0,0,19781,182.8,0.0
02.12:57:08,850,0.0,1.3795,0.0,33344,14952,8614,6338,1.3097,0.0,34009,29815,33.625,95.431,84.2,49042,46279,32949,528,0,0,19781,179.7,0.0
02.12:57:18,860,0.0,1.3795,0.0,33261,14947,8605,6342,1.3097,0.0,34001,29816,33.625,95.431,84.2,49038,46279,32968,518,0,0,19781,179.7,0.0
02.12:57:28,870,0.0,1.3781,0.0,33169,14948,8599,6349,1.3097,0.0,33968,29799,33.594,95.431,84.2,49026,46272,32899,525,0,0,19781,176.6,0.0
02.12:57:38,880,0.0,1.3774,0.0,33234,14934,8588,6346,1.3097,0.0,34001,29820,33.625,95.432,84.2,49031,46273,32955,523,0,0,19781,179.7,0.0
02.12:57:48,890,0.0,1.3795,0.0,33145,14971,8613,6358,1.3097,0.0,33994,29814,33.625,95.432,84.2,49041,46281,32992,519,0,0,19781,182.8,0.0
02.12:57:58,900,0.0,1.3781,0.0,33207,14956,8630,6326,1.3097,0.0,34029,29815,33.625,95.431,84.2,49030,46274,33003,538,0,0,19781,179.7,0.0
02.12:58:08,910,0.0,1.3788,0.0,33169,14969,8605,6364,1.3111,0.0,34030,29808,33.625,95.431,84.2,49048,46266,33006,527,0,0,19781,182.8,0.0
02.12:58:18,920,0.0,1.3788,0.0,33459,14955,8610,6345,1.3097,0.0,33958,29818,33.656,95.43,84.2,49025,46274,32852,527,0,0,19781,179.7,0.0
02.12:58:28,930,0.0,1.3781,0.0,33089,14937,8603,6334,1.3097,0.0,34009,29815,33.625,95.431,84.2,49035,46274,32946,528,0,0,19781,182.8,0.0
02.12:58:38,940,0.0,1.3788,0.0,33322,14939,8611,6328,1.3097,0.0,34036,29835,33.656,95.431,84.2,49032,46266,33011,532,0,0,19781,179.7,0.0
02.12:58:48,950,0.0,1.3774,0.0,33214,14965,8614,6351,1.3097,0.0,33983,29805,33.656,95.431,84.2,49025,46265,32890,534,0,0,19781,179.7,0.0
02.12:58:58,960,0.0,1.3781,0.0,33182,14939,8609,6330,1.3097,0.0,34030,29791,33.688,95.431,84.2,49035,46265,32993,536,0,0,19781,182.8,0.0
02.12:59:08,970,0.0,1.3781,0.0,33277,14968,8620,6348,1.3111,0.0,34021,29801,33.656,95.432,84.2,49031,46263,32980,534,0,0,19781,176.6,0.0
02.12:59:18,980,0.0,1.3781,0.0,33222,14943,8594,6349,1.3097,0.0,34005,29794,33.656,95.431,84.20100000000001,49014,46255,32954,534,0,0,19781,179.7,0.0
